slug,name,aliases,strain_type,lineage,dominant_terpene,aroma_notes,flavor_notes,terpenes,dominant_cannabinoid,potency_note,bud_structure,origin,summary,sources,confidence
afghani,Afghani,afghan|afghan kush,indica,,myrcene,earthy|sweet|spicy,earthy|hash|sweet,myrcene|caryophyllene|pinene,thc,classic resin-heavy indica,dense,Afghanistan (landrace),"A foundational landrace indica named for its region of origin, prized for heavy resin and a sweet, earthy hash aroma.",leafly|wikileaf,0.95
hindu kush,Hindu Kush,hindu kush mountains,indica,,limonene,earthy|sweet|sandalwood,earthy|sweet|hash,limonene|myrcene|caryophyllene,thc,classic landrace indica,dense,Hindu Kush mountains (landrace),"A landrace indica from the Hindu Kush range with a sweet, earthy sandalwood aroma and a thick coat of trichomes.",leafly|wikileaf,0.95
thai,Thai,thai stick,sativa,,,citrus|earthy|spicy,citrus|earthy,limonene|pinene,thc,classic landrace sativa,wispy,Thailand (landrace),"A landrace sativa from Thailand, a parent of many classic crosses, with bright citrus and earthy notes.",leafly|seedfinder,0.9
durban poison,Durban Poison,durban,sativa,African (landrace),terpinolene,sweet|pine|earthy|anise,sweet|pine|licorice,terpinolene|myrcene|ocimene,thc,classic sativa,chunky,"Durban, South Africa","A pure South African landrace sativa with a distinctive sweet, piney aroma and a hint of anise; revered by hashmakers.",leafly|wikileaf,0.95
acapulco gold,Acapulco Gold,,sativa,Mexican (landrace),myrcene,earthy|toffee|citrus,toffee|earthy|sweet,myrcene|pinene|caryophyllene,thc,classic sativa,dense,"Acapulco, Mexico","A classic Mexican landrace sativa with dense, orange-flecked nuggets and aromas of burnt toffee.",leafly,0.9
maui wowie,Maui Wowie,maui,sativa,Hawaiian (landrace),myrcene,tropical|pineapple|sweet,pineapple|tropical|sweet,myrcene|caryophyllene|pinene,thc,classic sativa,fluffy,Hawaii,A classic tropical sativa from Hawaii with sweet pineapple flavors.,leafly,0.9
lamb's bread,Lamb's Bread,lambs bread|lamb's breath,sativa,Jamaican (landrace),myrcene,herbal|earthy|grassy,herbal|earthy,myrcene|caryophyllene,thc,classic sativa,fluffy,Jamaica,"A bright green, sticky Jamaican sativa, famously associated with Bob Marley.",leafly,0.85
og kush,OG Kush,og|ogkush|og kush #18|the og,hybrid,,myrcene,earthy|pine|lemon|fuel,earthy|citrus|woody,myrcene|limonene|caryophyllene,thc,typically high THC,dense,United States,The genetic backbone of West Coast hybrids; an earthy-pine aroma with a citrus-fuel edge. Exact lineage is disputed.,leafly|wikileaf,0.9
chemdog,Chemdog,chemdawg|chem dog|chem dawg,hybrid,,caryophyllene,diesel|pungent|earthy,diesel|earthy|chemical,caryophyllene|myrcene|limonene,thc,typically high THC,dense,United States,"A mysterious, influential strain with a loud diesel aroma; parent to Sour Diesel and OG Kush. Lineage uncertain.",leafly|wikileaf,0.9
sour diesel,Sour Diesel,sour d|sourd|sour deezy,sativa,Chemdog x Super Skunk,caryophyllene,diesel|pungent|citrus|fuel,diesel|lemon|sour,caryophyllene|limonene|myrcene,thc,typically high THC,dense,United States,A legendary sativa named for its pungent diesel aroma with a citrus edge; fast-acting and cerebral.,leafly|wikileaf,0.9
headband,Headband,,hybrid,OG Kush x Sour Diesel,myrcene,lemon|diesel|earthy,lemon|diesel|creamy,myrcene|caryophyllene|limonene,thc,typically high THC,dense,United States,"A creamy, smooth cross of OG Kush and Sour Diesel with lemon and diesel notes.",leafly,0.9
stardawg,Stardawg,,hybrid,Chemdog 4 x Tres Dawg,caryophyllene,diesel|pine|lemon,diesel|pine|lemon,caryophyllene|myrcene|pinene,thc,typically high THC,frosty,United States,A Chemdog-heavy hybrid with a diesel funk and notes of pine and lemon under a blanket of trichomes.,leafly,0.9
gmo cookies,GMO Cookies,gmo|garlic cookies,hybrid,Chemdog x GSC,limonene,garlic|savory|diesel|earthy,garlic|savory|diesel,limonene|caryophyllene|myrcene,thc,typically very high THC,dense,United States,"A pungent, savory cross of Chemdog and GSC, also called Garlic Cookies; stanky and strong.",leafly,0.9
bruce banner,Bruce Banner,banner|og banner,hybrid,Strawberry Diesel x OG Kush,myrcene,sweet|earthy|diesel,sweet|earthy|fuel,myrcene|caryophyllene|limonene,thc,typically very high THC,frosty,United States,"A potent hybrid with lightly sweet, earthy flavors and a diesel undertone.",leafly,0.9
white fire og,White Fire OG,wifi og|wifi,hybrid,Fire OG x The White,limonene,sour|earthy|diesel,sour|earthy|diesel,limonene|caryophyllene|myrcene,thc,typically high THC,frosty,United States,"Also called WiFi OG; a sour, earthy, diesel-scented hybrid with a heavy resin coat.",leafly,0.88
triangle kush,Triangle Kush,tk,indica,,myrcene,earthy|gassy|vanilla|pine,gassy|earthy|vanilla,myrcene|caryophyllene|limonene,thc,typically very high THC,dense,"Florida, United States","A biting, gassy Florida cultivar likely descended from OG Kush, with soft vanilla notes.",leafly,0.85
sfv og,SFV OG,sfv|sfv og kush|san fernando valley og,hybrid,OG Kush phenotype,myrcene,earthy|pine|lemon|fuel,earthy|pine|lemon,myrcene|limonene|caryophyllene,thc,typically high THC,dense,"San Fernando Valley, United States",A San Fernando Valley OG Kush phenotype with classic earthy-pine and citrus-fuel notes.,leafly|seedfinder,0.85
fire og,Fire OG,fire og kush|fire kush,hybrid,OG Kush x SFV OG,limonene,earthy|lemon|pine|fuel,lemon|earthy|pine,limonene|myrcene|caryophyllene,thc,typically high THC,frosty,United States,"One of the most potent OG cuts, with lemon, pine, and fuel notes and red-orange hairs.",leafly|seedfinder,0.85
khalifa kush,Khalifa Kush,kk,hybrid,OG Kush,limonene,lemon|pine|sour,lemon|pine|sour,limonene|myrcene|caryophyllene,thc,typically high THC,dense,United States,"An OG Kush cut bred for Wiz Khalifa, with sour lemon and pine notes.",leafly,0.8
gsc,GSC,girl scout cookies|cookies|girlscout cookies,hybrid,OG Kush x Durban Poison,caryophyllene,sweet|earthy|dessert|mint,sweet|cookie-dough|mint|grape,caryophyllene|limonene|humulene,thc,typically very high THC,dense,"California, United States","Girl Scout Cookies — a hugely influential dessert hybrid with sweet, minty, earthy notes and butter-sugar cookie character.",leafly|wikileaf,0.95
animal cookies,Animal Cookies,animal cookie,hybrid,GSC x Fire OG,caryophyllene,sweet|sour|earthy,sweet|sour|cookie,caryophyllene|limonene|myrcene,thc,typically very high THC,dense,United States,A strong GSC descendant crossed with Fire OG; sweet-and-sour with purple-tinged buds.,leafly,0.88
gelato,Gelato,larry bird,hybrid,Sunset Sherbet x Thin Mint GSC,caryophyllene,sweet|creamy|berry|dessert,sweet|cream|berry|citrus,caryophyllene|limonene|humulene,thc,typically very high THC,dense,"Bay Area, United States","Also called Larry Bird; a dessert hybrid with a sweet, creamy aroma and bright berry-citrus notes.",leafly|wikileaf,0.95
gelato 41,Gelato 41,gelato #41|gelato41,hybrid,Sunset Sherbet x Thin Mint GSC,caryophyllene,sweet|creamy|gas|dessert,sweet|cream|gas,caryophyllene|limonene|linalool,thc,typically very high THC,dense,United States,"A sought-after Gelato phenotype with a sweet, creamy, gassy profile.",leafly|seedfinder,0.85
wedding cake,Wedding Cake,triangle mints|pink cookies|triangle mints #23,hybrid,Triangle Kush x Animal Mints,limonene,sweet|vanilla|earthy|tangy,vanilla|sweet|earthy,limonene|caryophyllene|myrcene,thc,typically very high THC,dense,United States,"A rich, tangy-sweet hybrid with a vanilla-cake aroma over an earthy base; Leafly Strain of the Year 2019.",leafly|wikileaf,0.92
ice cream cake,Ice Cream Cake,icecream cake|ice cream cake #5,indica,Wedding Cake x Gelato 33,limonene,sweet|vanilla|creamy|nutty,vanilla|sweet|cream,limonene|caryophyllene|linalool,thc,typically very high THC,dense,United States,A creamy dessert indica with sweet vanilla wafting off frosty green-and-purple buds.,leafly,0.9
kush mints,Kush Mints,kushmints|kush mint,hybrid,Animal Mints x Bubba Kush,limonene,mint|cookie|earthy,mint|cookie|earthy,limonene|caryophyllene|humulene,thc,typically very high THC,dense,United States,"A minty, cookie-scented hybrid with icy-dark dense nugs.",leafly,0.88
biscotti,Biscotti,biscotti cookies,hybrid,Gelato 25 x Florida OG,caryophyllene,sweet|cookie|diesel,sweet|cookie|diesel,caryophyllene|limonene|linalool,thc,typically very high THC,dense,United States,A cerebral Gelato descendant with a sweet cookie flavor and notes of diesel; purple-tinged buds.,leafly,0.88
runtz,Runtz,runts|runtz og,hybrid,Zkittlez x Gelato,caryophyllene,sweet|fruity|candy|tropical,sweet|fruit|candy|creamy,caryophyllene|limonene|linalool,thc,typically very high THC,dense,United States,"A sweet, candy-like hybrid (Leafly Strain of the Year 2020) with a creamy taste and purple-to-green buds.",leafly|wikileaf,0.92
la kush cake,LA Kush Cake,,hybrid,Wedding Cake x Kush Mints,caryophyllene,sweet|earthy|vanilla|mint,vanilla|earthy|mint,caryophyllene|limonene|humulene,thc,typically very high THC,dense,"Los Angeles, United States","A smooth, indica-leaning hybrid with sweet vanilla and minty earth notes.",leafly,0.85
lava cake,Lava Cake,lava cake kush,hybrid,Thin Mint GSC x Grape Pie,caryophyllene,sweet|chocolate|mint|berry,chocolate|mint|berry,caryophyllene|limonene|myrcene,thc,typically high THC,dense,United States,"A dessert hybrid with sweet chocolate, mint, and berry notes.",leafly,0.85
key lime pie,Key Lime Pie,,hybrid,GSC phenotype,caryophyllene,lime|citrus|earthy|sweet,lime|citrus|sweet,caryophyllene|limonene|humulene,thc,typically high THC,dense,United States,A tangier GSC phenotype tasting of fresh-squeezed lime with sweet undertones.,leafly,0.85
tropicana cookies,Tropicana Cookies,tropicana|trop cookies|tropicanna cookies,sativa,GSC x Tangie,caryophyllene,orange|citrus|sweet,orange|citrus|sweet,caryophyllene|limonene|myrcene,thc,typically high THC,dense,United States,A flavorful sativa-leaning cross of GSC and Tangie that smells like a glass of orange juice; deep-purple buds.,leafly,0.85
vanilla frosting,Vanilla Frosting,,hybrid,Humboldt Gelato x Humboldt Frost OG,myrcene,vanilla|creamy|sweet,vanilla|cream|sweet,myrcene|caryophyllene|limonene,thc,typically very high THC,frosty,"Humboldt, United States","A frosty Gelato-lineage cake strain with a creamy, smooth vanilla taste.",leafly,0.82
mac,MAC,miracle alien cookies|mac 1|mac1|mac #1,hybrid,Alien Cookies x Starfighter,limonene,citrus|floral|diesel|cream,citrus|cream|diesel,limonene|caryophyllene|pinene,thc,typically very high THC,dense,United States,"Miracle Alien Cookies — beastly, icy colas with a complex citrus-cream-diesel nose.",leafly,0.85
fruity pebbles,Fruity Pebbles,fpog|fruity pebbles og|fruity pebble,hybrid,Green Ribbon x Granddaddy Purple x Tahoe Alien,limonene,tropical|berry|sweet|cereal,berry|tropical|sweet,limonene|caryophyllene|myrcene,thc,typically high THC,dense,United States,Also FPOG; a sweet hybrid with a tropical berry flavor reminiscent of the cereal.,leafly,0.82
granddaddy purple,Granddaddy Purple,gdp|grandaddy purple|granddaddy purp|grand daddy purple|grand daddy purp,indica,Purple Urkle x Big Bud,myrcene,grape|berry|sweet|floral,grape|berry|sweet,myrcene|caryophyllene|pinene,thc,typically high THC,dense,"California, United States","A deep-purple indica with a rich grape-and-berry aroma and a sweet, fruit-forward profile.",leafly|wikileaf,0.95
purple urkle,Purple Urkle,purple urkel|urkle|urkel,indica,Mendocino Purps,myrcene,grape|berry|skunk,grape|berry|skunk,myrcene|caryophyllene|pinene,thc,typically high THC,dense,"California, United States","A complex purple indica blending skunk, berry, and grape notes.",leafly,0.85
grape ape,Grape Ape,grapeape|grape ape kush,indica,Mendocino Purps x Skunk x Afghani,myrcene,grape|sweet|berry,grape|sweet|berry,myrcene|caryophyllene|pinene,thc,typically high THC,dense,United States,"An indica named for its distinct grape smell, with dense purple-leaved buds.",leafly,0.88
purple punch,Purple Punch,purp punch,indica,Larry OG x Granddaddy Purple,caryophyllene,grape|berry|sweet|candy,grape|blueberry|sweet,caryophyllene|myrcene|pinene,thc,typically high THC,dense,United States,A dessert indica with a sweet grape-and-berry aroma reminiscent of fruit candy.,leafly|wikileaf,0.9
slurricane,Slurricane,,indica,Do-Si-Dos x Purple Punch,limonene,grape|gas|sweet|berry,grape|gas|sweet,limonene|caryophyllene|myrcene,thc,typically very high THC,frosty,United States,"A purple, gassy indica with a grape-candy-gas smell and a thick trichome layer.",leafly,0.88
cherry pie,Cherry Pie,cherry kush|cherry pie kush|cherrie pie|cherry pye,hybrid,Granddaddy Purple x Durban Poison,myrcene,cherry|sweet|sour|earthy,cherry|sweet|sour,myrcene|caryophyllene|limonene,thc,typically high THC,dense,United States,"A sweet-and-sour cherry-pie-scented hybrid with dense, orange-haired, purple-touched buds.",leafly,0.88
grape pie,Grape Pie,grape pie kush,hybrid,Cherry Pie x Grape Stomper,myrcene,grape|sweet|sour,grape|sweet|sour,myrcene|caryophyllene|limonene,thc,typically high THC,dense,United States,A sour-and-sugary old-school-looking purp strain.,leafly,0.85
forbidden fruit,Forbidden Fruit,forbidden fruits,indica,Tangie x Cherry Pie,myrcene,citrus|tropical|cherry|sweet,citrus|cherry|tropical,myrcene|caryophyllene|limonene,thc,typically high THC,dense,United States,A tropical-citrus indica balancing Cherry Pie sweetness with sharp Tangie citrus.,leafly,0.85
zkittlez,Zkittlez,skittlez|skittles|zkittles|the original z,indica,Grape Ape x Grapefruit,caryophyllene,fruity|sweet|berry|tropical,fruit|berry|grape|sweet,caryophyllene|humulene|linalool,thc,typically high THC,chunky,"California, United States","An award-winning indica with an intensely fruity, candy-sweet aroma and tropical-berry notes.",leafly|wikileaf,0.92
rainbow belts,Rainbow Belts,rainbow belt,hybrid,Zkittlez x Moonbow,caryophyllene,sweet|tropical|fruity|candy,sweet|tropical|candy,caryophyllene|limonene|linalool,thc,typically very high THC,frosty,United States,"A Zkittlez descendant bringing sweet, tropical candy flavors and calming character.",leafly,0.82
mimosa,Mimosa,mimosa evo,hybrid,Clementine x Purple Punch,myrcene,citrus|orange|sweet|tropical,citrus|orange|sweet,myrcene|caryophyllene|limonene,thc,typically high THC,dense,"California, United States",An effervescent citrus hybrid with sativa-leaning character and big bag appeal.,leafly,0.88
